Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Window Size,SW Step Size,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon
Zheng DBSCAN,without_noise,log_65_1687182020,,,,,"[668.0, 911.6153846153846, 1480.3333333333333, 2126.2, 2429.0, 3050.0]","[909, 1496, 2099, 2410]",0.8,16.1205128205128,00:00:00,0.3845230955630541,0.00012570222149821972,,,,,,600.0,180.0
Zheng DBSCAN,without_noise,log_65_1687182020,,,,,"[894.2142857142857, 1480.3333333333333, 2260.777777777778, 3050.0]","[909, 1496, 2099, 2410]",0.75,59.891534391534414,00:00:00,0.3845230955630541,0.00012570222149821972,,,,,,600.0,240.0
Zheng DBSCAN,without_noise,log_65_1687182020,,,,,"[894.2142857142857, 1480.3333333333333, 2260.777777777778, 3050.0]","[909, 1496, 2099, 2410]",0.75,59.891534391534414,00:00:00,0.3845230955630541,0.00012570222149821972,,,,,,600.0,300.0
LCDD,without_noise,log_6_1687181923,,,,,"[923, 1992, 3140]","[923, 1989, 3141]",1.0,1.3333333333333333,00:00:00,0.2061554091051221,4.6842855965717356e-05,,,200.0,200.0,200.0,,
Earth Mover's Distance,without_noise,log_53_1687182005,,,,,[1130],"[1024, 1283]",0.6666666666666666,106.0,00:00:01,1.052384003996849,0.00044088144281392925,100.0,2.0,,,,,
Process Graph Metrics,without_noise,log_93_1687182065,0.05,400.0,400.0,,"[911, 2054, 3254]","[761, 990, 1771, 2107, 2887, 3146]",0.6666666666666666,80.0,00:00:07,7.5592528991401196,0.0017538869835591925,,,,,,,
Martjushev ADWIN J,without_noise,log_82_1687182044,0.4,100.0,500.0,50.0,"[99, 350, 638]",[642],0.5,4.0,00:00:04,4.877141593955457,0.0023837446695774474,,,,,,,
Process Graph Metrics,without_noise,log_27_1687181952,0.005,300.0,400.0,,"[787, 2037, 3398]","[605, 944, 1861, 2203, 3080, 3444]",0.6666666666666666,123.0,00:00:11,11.639292714186013,0.002788522451889318,,,,,,,
Martjushev J,without_noise,log_7_1687181925,0.55,,,,"[919, 1693, 2068, 3027, 3252]","[920, 1720, 2103, 3052, 3413]",1.0,49.8,00:01:50,110.07266266550869,0.023168314600191264,300.0,,,,,,
LCDD,without_noise,log_87_1687182053,,,,,"[364, 565, 794, 1028, 1299, 1514, 1740, 1991, 2208, 2555, 2821, 3022, 3234, 3437, 3645, 3852, 4069, 4292, 4550]","[1385, 2862, 3527, 3777]",0.34782608695652173,73.0,00:00:00,0.1241094721481204,2.7127753474998997e-05,,,200.0,200.0,150.0,,
Process Graph Metrics,without_noise,log_38_1687181974,0.0001,300.0,400.0,,[1179],"[1060, 1266]",0.6666666666666666,87.0,00:00:11,11.482708471827209,0.0048800290997990685,,,,,,,
Process Graph Metrics,without_noise,log_13_1687181932,0.0001,300.0,400.0,,"[775, 1465]","[627, 835, 1407, 2856, 3239]",0.5714285714285715,59.0,00:00:13,13.193260282278061,0.0029714550185310946,,,,,,,
Process Graph Metrics,without_noise,log_72_1687182033,0.05,200.0,500.0,,[716],"[661, 974]",0.6666666666666666,55.0,00:00:03,3.0445797480642796,0.002010950956449326,,,,,,,
LCDD,without_noise,log_9_1687181928,,,,,"[100, 278, 555, 655, 759, 859, 970, 1070, 1170, 1915, 2695]","[1135, 1916, 2696, 2989]",0.39999999999999997,12.333333333333334,00:00:00,0.12879393342882395,2.871019470103075e-05,,,100.0,100.0,20.0,,
LCDD,without_noise,log_95_1687182068,,,,,"[372, 684, 1006, 1431, 1733, 2038, 2339, 2679, 2994, 3325, 3634, 3954, 4254, 4571, 4880, 5184, 5572]","[561, 936, 2338, 2712, 4212]",0.45454545454545453,53.8,00:00:00,0.43145907018333673,7.64862737428358e-05,,,300.0,300.0,20.0,,
Process Graph Metrics,without_noise,log_39_1687181976,0.005,100.0,400.0,,"[940, 2228]","[706, 972, 2184, 3059, 3368]",0.5714285714285715,38.0,00:00:43,43.13566542416811,0.010282637764998357,,,,,,,
Process Graph Metrics,without_noise,log_43_1687181986,0.005,400.0,500.0,,"[1155, 2605, 3713]","[979, 1204, 2415, 2632, 3669]",0.7499999999999999,40.0,00:00:48,48.50252980645746,0.011295419144494051,,,,,,,
LCDD,without_noise,log_73_1687182035,,,,,"[2416, 2676]","[1478, 2417, 2951, 3283]",0.3333333333333333,1.0,00:00:00,0.11554539110511541,2.595359189243383e-05,,,200.0,200.0,20.0,,
Process Graph Metrics,without_noise,log_24_1687181949,0.05,400.0,500.0,,[1165],"[994, 1238]",0.6666666666666666,73.0,00:00:06,6.509849942289293,0.0027056732927220667,,,,,,,
Martjushev ADWIN J,without_noise,log_41_1687181983,0.4,400.0,500.0,50.0,"[724, 2412, 2638, 3402]","[601, 890, 2386, 2718, 3227, 3580]",0.8,101.0,00:00:12,12.76954501401633,0.0026669893512983145,,,,,,,
Bose J,without_noise,log_91_1687182059,,,,,"[846, 1338, 2490, 2668, 3676, 3882]","[806, 1021, 2361, 2754, 3407, 3685]",0.6666666666666666,66.0,00:08:10,490.1140643795952,0.09531584293652183,200.0,2.0,,,,,
Bose WC,without_noise,log_91_1687182059,,,,,[2668],"[806, 1021, 2361, 2754, 3407, 3685]",0.2857142857142857,86.0,00:08:06,486.6027077669278,0.09463296533779225,200.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_72_1687182033,0.4,200.0,400.0,50.0,[599],"[661, 974]",0.6666666666666666,62.0,00:00:22,22.146123095415533,0.014627558187196521,,,,,,,
LCDD,without_noise,log_66_1687182022,,,,,[845],"[846, 1221]",0.6666666666666666,1.0,00:00:00,0.07357919029891491,4.253132387220515e-05,,,100.0,100.0,100.0,,
LCDD,without_noise,log_89_1687182057,,,,,[1143],"[1144, 1943, 2486]",0.5,1.0,00:00:00,0.24220355041325092,7.507859591235305e-05,,,200.0,200.0,5.0,,
LCDD,without_noise,log_75_1687182036,,,,,"[1098, 1317, 1517]","[1099, 1445]",0.8,36.5,00:00:00,0.0706763369962573,3.039842451451927e-05,,,200.0,200.0,10.0,,
LCDD,without_noise,log_8_1687181927,,,,,"[779, 1405, 1705, 2268]","[778, 1133]",0.3333333333333333,1.0,00:00:00,0.08190968073904514,3.6004255269909956e-05,,,300.0,300.0,5.0,,
LCDD,without_noise,log_92_1687182064,,,,,[1043],[1041],1.0,2.0,00:00:00,0.11914143525063992,5.311700189506907e-05,,,200.0,200.0,100.0,,
Martjushev ADWIN J,without_noise,log_37_1687181973,0.4,100.0,500.0,10.0,[1289],[1428],1.0,139.0,00:00:24,24.268845146521926,0.011735418349381976,,,,,,,
LCDD,without_noise,log_34_1687181968,,,,,"[328, 643, 1086, 1427]","[1087, 1302]",0.6666666666666666,63.0,00:00:00,0.06295851059257984,2.3668613004729264e-05,,,300.0,300.0,5.0,,
Martjushev ADWIN J,without_noise,log_88_1687182055,0.4,100.0,400.0,50.0,"[1399, 1975, 3276]","[1401, 1950, 2206, 3218, 3462]",0.7499999999999999,28.333333333333332,00:00:12,12.210610406473279,0.0028683604431461777,,,,,,,
Process Graph Metrics,without_noise,log_31_1687181960,0.05,200.0,500.0,,"[885, 2030, 3194, 3544, 4224]","[1043, 1868, 2070, 3338, 3677]",0.8000000000000002,118.75,00:01:43,103.84953813906759,0.024111803607863382,,,,,,,
Martjushev J,without_noise,log_90_1687182058,0.55,,,,[727],[652],1.0,75.0,00:01:24,84.56919959560037,0.04500755699606193,300.0,,,,,,
LCDD,without_noise,log_35_1687181968,,,,,"[115, 3787]","[842, 1057, 2418, 2651, 3788, 4180]",0.25,1.0,00:00:00,0.1017136424779892,1.811462911451277e-05,,,100.0,100.0,5.0,,
Process Graph Metrics,without_noise,log_42_1687181985,0.1,300.0,400.0,,[1650],"[1494, 1841]",0.6666666666666666,156.0,00:00:02,2.102368257008493,0.000819317325412507,,,,,,,
Process Graph Metrics,without_noise,log_68_1687182024,0.1,200.0,500.0,,"[394, 922, 1441, 1960, 2645, 3063, 3438]","[896, 1272, 1818, 2030, 2923, 3240]",0.7692307692307692,120.6,00:00:08,8.961416746489704,0.001983931092869095,,,,,,,
Process Graph Metrics,without_noise,log_64_1687182018,0.05,100.0,400.0,,"[450, 960, 1410, 1960]",[1359],0.4,51.0,00:00:06,6.71896074898541,0.003403728849536682,,,,,,,
Martjushev ADWIN J,without_noise,log_17_1687181934,0.4,200.0,500.0,20.0,"[994, 1380, 2413, 3889]","[975, 1309, 2437, 2652, 3899]",0.888888888888889,31.0,00:00:51,51.98798482865095,0.010679536735548676,,,,,,,
Process Graph Metrics,without_noise,log_90_1687182058,0.1,100.0,400.0,,"[192, 640, 1137]",[652],0.5,12.0,00:00:01,1.0370045434683561,0.00055189172084532,,,,,,,
Martjushev ADWIN J,without_noise,log_14_1687181933,0.4,200.0,500.0,10.0,[1179],[1179],1.0,0.0,00:00:01,1.950037956237793,0.0010428010461164669,,,,,,,
Martjushev ADWIN J,without_noise,log_24_1687181949,0.4,200.0,500.0,50.0,[],"[994, 1238]",,,00:00:03,3.3128999546170235,0.0013769326494667597,,,,,,,
Martjushev ADWIN J,without_noise,log_75_1687182036,0.4,400.0,400.0,50.0,[],"[1099, 1445]",,,00:00:20,20.227293314412236,0.008699911102973005,,,,,,,
LCDD,without_noise,log_11_1687181931,,,,,[1011],[1012],1.0,1.0,00:00:00,0.1459852671250701,8.612700125372867e-05,,,300.0,300.0,5.0,,
LCDD,without_noise,log_64_1687182018,,,,,[1360],[1359],1.0,1.0,00:00:00,0.07005357928574085,3.5488135403110866e-05,,,300.0,300.0,20.0,,
LCDD,without_noise,log_37_1687181973,,,,,"[1427, 1557]",[1428],0.6666666666666666,1.0,00:00:00,0.1392725668847561,6.734650236206775e-05,,,100.0,100.0,10.0,,
Zheng DBSCAN,without_noise,log_17_1687181934,,,,,"[469.8181818181818, 664.5, 750.5, 853.0, 957.8571428571429, 1042.0, 1220.4736842105262, 1437.3333333333333, 1529.0, 1769.3333333333333, 1967.0, 2052.5, 2143.0, 2211.0, 2330.8571428571427, 2576.153846153846, 2777.5, 2864.0, 2969.0, 3046.5, 3116.0, 3228.6666666666665, 3304.0, 3448.0, 3612.8, 3696.75, 3801.0, 3937.6470588235293, 4119.0, 4193.666666666667, 4295.444444444444, 4419.5, 4502.5, 4556.0, 4685.0, 4745.0, 4807.0]","[975, 1309, 2437, 2652, 3899]",0.2380952380952381,65.26104854897426,00:00:01,1.8901495719328523,0.00038828052011767713,,,,,,400.0,40.0
Zheng DBSCAN,without_noise,log_17_1687181934,,,,,"[469.8181818181818, 721.8333333333334, 1135.3214285714287, 1474.0, 2223.463768115942, 2864.0, 3163.470588235294, 3448.0, 3836.740740740741, 4338.045454545455, 4745.666666666667]","[975, 1309, 2437, 2652, 3899]",0.37499999999999994,129.19356261022926,00:00:01,1.8901495719328523,0.00038828052011767713,,,,,,400.0,80.0
Zheng DBSCAN,without_noise,log_17_1687181934,,,,,"[1888.4671532846714, 3448.0, 4061.816326530612, 4745.666666666667]","[975, 1309, 2437, 2652, 3899]",0.22222222222222224,162.81632653061206,00:00:01,1.8901495719328523,0.00038828052011767713,,,,,,400.0,120.0
Zheng DBSCAN,without_noise,log_17_1687181934,,,,,[2470.2061855670104],"[975, 1309, 2437, 2652, 3899]",0.33333333333333337,33.20618556701038,00:00:01,1.8901495719328523,0.00038828052011767713,,,,,,400.0,160.0
Zheng DBSCAN,without_noise,log_17_1687181934,,,,,[2470.2061855670104],"[975, 1309, 2437, 2652, 3899]",0.33333333333333337,33.20618556701038,00:00:01,1.8901495719328523,0.00038828052011767713,,,,,,400.0,200.0
LCDD,without_noise,log_16_1687181934,,,,,"[1230, 1794, 2775]","[1218, 1793, 2771]",1.0,5.666666666666667,00:00:00,0.06021584011614323,1.4919682883088014e-05,,,300.0,300.0,200.0,,
Maaradji Runs,without_noise,log_9_1687181928,,,,,"[1088, 1870, 2684]","[1135, 1916, 2696, 2989]",0.8571428571428571,35.0,00:00:01,1.211265112273395,0.00027001005623571,150.0,2.0,,,,,
Process Graph Metrics,without_noise,log_29_1687181956,0.005,100.0,400.0,,[742],"[516, 766]",0.6666666666666666,24.0,00:00:02,2.771307929418981,0.0018328756146950933,,,,,,,
LCDD,without_noise,log_42_1687181985,,,,,"[516, 1355, 1715, 2015]","[1494, 1841]",0.6666666666666666,132.5,00:00:00,0.0664056520909071,2.5879053815630203e-05,,,300.0,300.0,5.0,,
LCDD,without_noise,log_79_1687182041,,,,,"[202, 424, 630, 853, 1153, 1418, 1695]",[532],0.25,98.0,00:00:00,0.06208524387329817,3.388932525835053e-05,,,200.0,200.0,150.0,,
LCDD,without_noise,log_82_1687182044,,,,,[641],[642],1.0,1.0,00:00:00,0.044416709803044796,2.1709046824557573e-05,,,200.0,200.0,5.0,,
Martjushev ADWIN J,without_noise,log_40_1687181982,0.4,200.0,500.0,10.0,"[1205, 2123, 3449]","[1205, 2115, 3442]",1.0,5.0,00:00:10,10.908552095293999,0.002426819153569299,,,,,,,
Martjushev J,without_noise,log_40_1687181982,0.55,,,,"[1192, 2116, 3115, 3436]","[1205, 2115, 3442]",0.8571428571428571,6.666666666666667,00:02:16,136.87340979278088,0.030450146783710986,200.0,,,,,,
Process Graph Metrics,without_noise,log_54_1687182005,0.0001,100.0,400.0,,[3048],"[1171, 1523, 2987, 3886, 4123]",0.33333333333333337,61.0,00:00:07,7.604495539329946,0.001577041795796339,,,,,,,
Process Graph Metrics,without_noise,log_15_1687181933,0.0001,400.0,400.0,,[1296],"[957, 1345]",0.6666666666666666,49.0,00:00:05,5.486623621545732,0.002086962199142538,,,,,,,
Process Graph Metrics,without_noise,log_10_1687181929,0.05,100.0,500.0,,"[444, 985, 1533, 2073]","[1446, 1821]",0.3333333333333333,87.0,00:00:11,11.85874354839325,0.00460176311540289,,,,,,,
LCDD,without_noise,log_52_1687182004,,,,,"[1220, 1324, 1425, 1525, 1626]","[1221, 1560]",0.5714285714285715,18.0,00:00:00,0.04726577363908291,1.6060405585824978e-05,,,100.0,100.0,50.0,,
Process Graph Metrics,without_noise,log_21_1687181940,0.0001,300.0,500.0,,[760],[668],1.0,92.0,00:00:03,3.288567184470594,0.00178338784407299,,,,,,,
Martjushev ADWIN J,without_noise,log_47_1687181994,0.4,400.0,500.0,20.0,[1324],"[1076, 1388]",0.6666666666666666,64.0,00:01:34,94.33953982871026,0.0376304506696092,,,,,,,
Process Graph Metrics,without_noise,log_54_1687182005,0.0001,200.0,500.0,,"[3079, 4119]","[1171, 1523, 2987, 3886, 4123]",0.5714285714285715,48.0,00:00:14,14.397264975123107,0.0029857455361101425,,,,,,,
Process Graph Metrics,without_noise,log_61_1687182016,0.005,400.0,400.0,,[1447],"[1128, 1415]",0.6666666666666666,32.0,00:00:02,2.108150730840862,0.0008202921131676505,,,,,,,
Maaradji Runs,without_noise,log_70_1687182031,,,,,[618],[608],1.0,10.0,00:00:07,7.69383579492569,0.005230343844273073,50.0,2.0,,,,,
Process Graph Metrics,without_noise,log_78_1687182040,0.0001,100.0,500.0,,[801],[743],1.0,58.0,00:00:01,1.2974914712831378,0.0005802734665845876,,,,,,,
Process Graph Metrics,without_noise,log_86_1687182053,0.0001,400.0,500.0,,[1051],[931],1.0,120.0,00:00:00,0.892341093160212,0.0005197094310775841,,,,,,,
Process Graph Metrics,without_noise,log_45_1687181991,0.005,400.0,500.0,,[624],[546],1.0,78.0,00:00:01,1.3981637973338366,0.0010175864609416568,,,,,,,
Martjushev ADWIN J,without_noise,log_20_1687181939,0.4,200.0,500.0,10.0,"[1249, 2319, 2813]","[1383, 2319, 2819]",1.0,46.666666666666664,00:00:08,8.313555891625583,0.0021143326275751737,,,,,,,
Process Graph Metrics,without_noise,log_34_1687181968,0.0001,300.0,500.0,,"[812, 1237]","[1087, 1302]",0.5,65.0,00:00:03,3.7144069261848927,0.0013963935812725161,,,,,,,
LCDD,without_noise,log_52_1687182004,,,,,"[1220, 1626]","[1221, 1560]",1.0,33.5,00:00:00,0.041927595622837543,1.4246549650981157e-05,,,200.0,200.0,100.0,,
Process Graph Metrics,without_noise,log_2_1687181920,0.1,400.0,500.0,,[],[1011],,,00:00:01,1.1376361576840281,0.0007269240624179094,,,,,,,
Martjushev ADWIN J,without_noise,log_8_1687181927,0.4,100.0,500.0,20.0,[],"[778, 1133]",,,00:00:39,39.324054634198546,0.017285298740307053,,,,,,,
Process Graph Metrics,without_noise,log_27_1687181952,0.05,200.0,500.0,,"[711, 1971, 2263, 3178, 3553]","[605, 944, 1861, 2203, 3080, 3444]",0.9090909090909091,96.6,00:00:15,15.949578232131898,0.003821173510333469,,,,,,,
Martjushev ADWIN J,without_noise,log_63_1687182017,0.4,300.0,500.0,10.0,[],"[727, 968, 1760, 2588, 2871]",,,00:00:40,40.51786179095507,0.009540348902979766,,,,,,,
LCDD,without_noise,log_98_1687182076,,,,,"[100, 211, 311, 440, 577, 741, 875, 980, 1102, 1226, 1326, 1437, 1601]","[896, 1153]",0.2666666666666667,36.0,00:00:00,0.020210569724440575,1.146373779038036e-05,,,100.0,100.0,150.0,,
Zheng DBSCAN,without_noise,log_26_1687181951,,,,,"[1401.8, 1587.6666666666667, 1671.75]","[1394, 1683]",0.8,9.524999999999977,00:00:00,0.5158704509958625,0.00019021771791882835,,,,,,400.0,40.0
Zheng DBSCAN,without_noise,log_26_1687181951,,,,,"[1401.8, 1635.7142857142858]","[1394, 1683]",1.0,27.542857142857088,00:00:00,0.5158704509958625,0.00019021771791882835,,,,,,400.0,80.0
Zheng DBSCAN,without_noise,log_26_1687181951,,,,,"[1401.8, 1635.7142857142858]","[1394, 1683]",1.0,27.542857142857088,00:00:00,0.5158704509958625,0.00019021771791882835,,,,,,400.0,120.0
Zheng DBSCAN,without_noise,log_26_1687181951,,,,,[1538.25],"[1394, 1683]",0.6666666666666666,144.25,00:00:00,0.5158704509958625,0.00019021771791882835,,,,,,400.0,160.0
Zheng DBSCAN,without_noise,log_26_1687181951,,,,,[1538.25],"[1394, 1683]",0.6666666666666666,144.25,00:00:00,0.5158704509958625,0.00019021771791882835,,,,,,400.0,200.0
Martjushev J,without_noise,log_4_1687181921,0.55,,,,"[791, 1288]","[1313, 1543]",0.5,25.0,00:00:57,57.24208546988666,0.021723751601475015,200.0,,,,,,
Martjushev ADWIN J,without_noise,log_22_1687181941,0.4,200.0,400.0,10.0,"[1219, 1480, 2576, 3544, 3760]","[1159, 1512, 2578, 3506, 3838]",1.0,42.0,00:00:07,7.500284669920802,0.0015988669089577493,,,,,,,
Martjushev ADWIN J,without_noise,log_64_1687182018,0.4,400.0,400.0,10.0,[709],[1359],,,00:00:38,38.73890539165586,0.019624572133564267,,,,,,,
Process Graph Metrics,without_noise,log_3_1687181920,0.005,400.0,500.0,,"[1259, 1975, 2235]","[1041, 1298]",0.4,39.0,00:00:11,11.102157198823988,0.00489513104004585,,,,,,,
Process Graph Metrics,without_noise,log_33_1687181967,0.005,100.0,500.0,,[1057],[987],1.0,70.0,00:00:04,4.750045692548156,0.003106635508533784,,,,,,,
Bose J,without_noise,log_52_1687182004,,,,,"[508, 1356]","[1221, 1560]",0.5,135.0,00:00:21,21.779034204781055,0.0074002834538841504,300.0,2.0,,,,,
Bose WC,without_noise,log_52_1687182004,,,,,[1356],"[1221, 1560]",0.6666666666666666,135.0,00:00:30,30.434426135383546,0.010341293284194206,300.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_15_1687181933,0.4,400.0,500.0,50.0,"[1024, 1250]","[957, 1345]",1.0,81.0,00:00:02,2.7734731221571565,0.0010549536409878875,,,,,,,
Zheng DBSCAN,without_noise,log_69_1687182027,,,,,"[1373.0, 1740.0, 2406.5, 3198.0]","[1354, 1741, 2389, 2676, 3199]",0.888888888888889,9.625,00:00:01,1.4239493124186993,0.000337109212220336,,,,,,600.0,60.0
Zheng DBSCAN,without_noise,log_69_1687182027,,,,,"[1373.0, 1740.0, 2406.5, 3198.0]","[1354, 1741, 2389, 2676, 3199]",0.888888888888889,9.625,00:00:01,1.4239493124186993,0.000337109212220336,,,,,,600.0,120.0
Zheng DBSCAN,without_noise,log_69_1687182027,,,,,"[1373.0, 1740.0, 2406.5, 3198.0]","[1354, 1741, 2389, 2676, 3199]",0.888888888888889,9.625,00:00:01,1.4239493124186993,0.000337109212220336,,,,,,600.0,180.0
Zheng DBSCAN,without_noise,log_69_1687182027,,,,,"[1373.0, 1740.0, 2406.5, 3198.0]","[1354, 1741, 2389, 2676, 3199]",0.888888888888889,9.625,00:00:01,1.4239493124186993,0.000337109212220336,,,,,,600.0,240.0
Zheng DBSCAN,without_noise,log_69_1687182027,,,,,"[1373.0, 1740.0, 2406.5, 3198.0]","[1354, 1741, 2389, 2676, 3199]",0.888888888888889,9.625,00:00:01,1.4239493124186993,0.000337109212220336,,,,,,600.0,300.0
Martjushev ADWIN J,without_noise,log_7_1687181925,0.4,400.0,500.0,20.0,"[917, 1765, 1981]","[920, 1720, 2103, 3052, 3413]",0.7499999999999999,56.666666666666664,00:00:04,4.380170863121748,0.0009219471402066402,,,,,,,
Process Graph Metrics,without_noise,log_15_1687181933,0.0001,200.0,500.0,,[1204],"[957, 1345]",0.6666666666666666,141.0,00:00:04,4.183531216345727,0.001591301337522148,,,,,,,
LCDD,without_noise,log_12_1687181931,,,,,[],"[969, 1263]",,,00:00:00,0.030970879830420017,1.744838300305353e-05,,,100.0,100.0,5.0,,
Martjushev ADWIN J,without_noise,log_55_1687182006,0.4,100.0,400.0,20.0,"[179, 460, 881, 1322]","[1185, 1392]",0.3333333333333333,70.0,00:00:01,1.2280204854905605,0.0004462283740881397,,,,,,,
Martjushev ADWIN J,without_noise,log_39_1687181976,0.4,400.0,500.0,10.0,[3269],"[706, 972, 2184, 3059, 3368]",0.33333333333333337,99.0,00:02:22,142.6314358022064,0.03400034226512667,,,,,,,
Martjushev ADWIN J,without_noise,log_10_1687181929,0.4,100.0,500.0,10.0,[1749],"[1446, 1821]",0.6666666666666666,72.0,00:00:50,50.889428881928325,0.01974754710202884,,,,,,,
Martjushev ADWIN J,without_noise,log_75_1687182036,0.4,200.0,400.0,10.0,[],"[1099, 1445]",,,00:00:35,35.232363207265735,0.015153704605275585,,,,,,,
Martjushev ADWIN J,without_noise,log_43_1687181986,0.4,200.0,500.0,10.0,"[749, 1100, 2251, 2852, 3303, 3654]","[979, 1204, 2415, 2632, 3669]",0.5454545454545454,94.33333333333333,00:01:22,82.37304104678333,0.019183288553046886,,,,,,,
Zheng DBSCAN,without_noise,log_18_1687181937,,,,,"[309.0, 508.72972972972974, 764.8333333333334, 857.0, 912.2222222222222, 1035.391304347826, 1251.909090909091, 1425.2, 1524.2857142857142, 1623.5384615384614, 1796.7142857142858, 1908.3333333333333, 1999.0, 2092.0]","[1013, 1325]",0.25,47.74110671936751,00:00:00,0.6917108753696084,0.000327825059416876,,,,,,300.0,30.0
Zheng DBSCAN,without_noise,log_18_1687181937,,,,,"[489.2439024390244, 1193.377192982456, 1843.8, 2092.0]","[1013, 1325]",0.3333333333333333,131.6228070175439,00:00:00,0.6917108753696084,0.000327825059416876,,,,,,300.0,60.0
Zheng DBSCAN,without_noise,log_18_1687181937,,,,,[1064.6141304347825],"[1013, 1325]",0.6666666666666666,51.61413043478251,00:00:00,0.6917108753696084,0.000327825059416876,,,,,,300.0,90.0
Zheng DBSCAN,without_noise,log_18_1687181937,,,,,[1064.6141304347825],"[1013, 1325]",0.6666666666666666,51.61413043478251,00:00:00,0.6917108753696084,0.000327825059416876,,,,,,300.0,120.0
Zheng DBSCAN,without_noise,log_18_1687181937,,,,,[1064.6141304347825],"[1013, 1325]",0.6666666666666666,51.61413043478251,00:00:00,0.6917108753696084,0.000327825059416876,,,,,,300.0,150.0
LCDD,without_noise,log_1_1687181916,,,,,"[1291, 2436]","[1292, 2437, 3613]",0.8,1.0,00:00:00,0.3228899734094739,6.809151695686923e-05,,,300.0,300.0,5.0,,
LCDD,without_noise,log_22_1687181941,,,,,"[1158, 3506]","[1159, 1512, 2578, 3506, 3838]",0.5714285714285715,0.5,00:00:00,0.16117235645651817,3.435778223332299e-05,,,200.0,200.0,200.0,,
Process Graph Metrics,without_noise,log_44_1687181991,0.05,300.0,500.0,,"[835, 1095]",[1026],0.6666666666666666,69.0,00:00:02,2.0552238933742046,0.0012593283660381155,,,,,,,
Process Graph Metrics,without_noise,log_73_1687182035,0.1,100.0,500.0,,"[1522, 2670, 3318]","[1478, 2417, 2951, 3283]",0.5714285714285715,39.5,00:00:04,4.73558699246496,0.0010636987853694878,,,,,,,
LCDD,without_noise,log_10_1687181929,,,,,"[207, 408, 620, 839, 1064, 1265, 1479, 1679, 1886, 2102, 2327, 2542]","[1446, 1821]",0.2857142857142857,49.0,00:00:00,0.06366277113556862,2.4704218523697563e-05,,,200.0,200.0,100.0,,
Martjushev ADWIN J,without_noise,log_45_1687181991,0.4,300.0,500.0,50.0,[542],[546],1.0,4.0,00:00:01,1.87643598113209,0.0013656739309549418,,,,,,,
Martjushev ADWIN J,without_noise,log_49_1687181999,0.4,400.0,400.0,10.0,[686],"[605, 889]",0.6666666666666666,81.0,00:00:01,1.6753278654068708,0.0009105042746776472,,,,,,,
Process Graph Metrics,without_noise,log_26_1687181951,0.05,400.0,500.0,,[1557],"[1394, 1683]",0.6666666666666666,126.0,00:00:04,4.022897820919752,0.0014833694029940088,,,,,,,
LCDD,without_noise,log_21_1687181940,,,,,"[292, 533, 779, 996, 1228, 1564]",[668],0.2857142857142857,111.0,00:00:00,0.2097491566091776,0.00011374683113295965,,,200.0,200.0,100.0,,
Martjushev ADWIN J,without_noise,log_11_1687181931,0.4,400.0,400.0,10.0,[],[1012],,,00:00:01,1.8085664827376604,0.001067000874771481,,,,,,,
Martjushev ADWIN J,without_noise,log_93_1687182065,0.4,300.0,400.0,20.0,[],"[761, 990, 1771, 2107, 2887, 3146]",,,00:00:34,34.31790993735194,0.007962392096833398,,,,,,,
LCDD,without_noise,log_6_1687181923,,,,,"[923, 1992, 3140]","[923, 1989, 3141]",1.0,1.3333333333333333,00:00:00,0.09501193650066853,2.158871540574154e-05,,,200.0,200.0,10.0,,
Process Graph Metrics,without_noise,log_17_1687181934,0.0001,400.0,400.0,,[],"[975, 1309, 2437, 2652, 3899]",,,00:00:52,52.94681931100786,0.01087650355608214,,,,,,,
Martjushev ADWIN J,without_noise,log_36_1687181970,0.4,300.0,400.0,50.0,"[699, 1600, 2551]","[754, 1601, 2593]",1.0,32.666666666666664,00:00:57,57.90359906759113,0.015721856928479806,,,,,,,
Martjushev ADWIN J,without_noise,log_67_1687182023,0.4,300.0,500.0,20.0,[],"[933, 1145, 2289, 3129]",,,00:00:04,4.348397033289075,0.0009782670491089033,,,,,,,
Earth Mover's Distance,without_noise,log_53_1687182005,,,,,"[1134, 1950]","[1024, 1283]",0.5,110.0,00:00:01,1.7413980746641755,0.0007295341745555826,200.0,2.0,,,,,
LCDD,without_noise,log_82_1687182044,,,,,[641],[642],1.0,1.0,00:00:00,0.09321627765893936,4.556025301023429e-05,,,100.0,100.0,150.0,,
Process Graph Metrics,without_noise,log_15_1687181933,0.05,300.0,400.0,,[1179],"[957, 1345]",0.6666666666666666,166.0,00:00:02,2.059485226869583,0.0007833720908594838,,,,,,,
LCDD,without_noise,log_66_1687182022,,,,,[845],"[846, 1221]",0.6666666666666666,1.0,00:00:00,0.06543839164078236,3.782565990796668e-05,,,200.0,200.0,20.0,,
Process Graph Metrics,without_noise,log_83_1687182046,0.1,200.0,500.0,,"[1234, 2720]","[1171, 1687, 2573, 2813]",0.6666666666666666,78.0,00:00:03,3.809209336526692,0.0010453373590907497,,,,,,,
