Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Complete-Window Size,Detection-Window Size,Stable Period,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,MRID,Epsilon
Bose J,without_noise,log_19_1687181938,300.0,2.0,[770],[771],1.0,1.0,00:01:39,99.81264495104551,0.0669883523161379,,,,,,,,,
Bose WC,without_noise,log_19_1687181938,300.0,2.0,[],[771],,,00:01:48,108.1241449136287,0.072566540210489,,,,,,,,,
Bose J,without_noise,log_19_1687181938,400.0,2.0,[756],[771],1.0,15.0,00:01:38,98.49751608725636,0.0661057154948029,,,,,,,,,
Bose WC,without_noise,log_19_1687181938,400.0,2.0,[],[771],,,00:01:39,99.00267767626792,0.0664447501183006,,,,,,,,,
Bose J,with_noise_20,log_19_1687181938,500.0,2.0,[786],[771],1.0,15.0,00:01:18,78.27177016064525,0.0525313893695605,,,,,,,,,
Bose WC,with_noise_20,log_19_1687181938,500.0,2.0,[],[771],,,00:01:34,94.472607976757,0.0634044348837295,,,,,,,,,
Bose J,with_noise_10,log_19_1687181938,600.0,2.0,[758],[771],1.0,13.0,00:00:59,59.02699473127723,0.0396154327055551,,,,,,,,,
Bose WC,with_noise_10,log_19_1687181938,600.0,2.0,[],[771],,,00:01:11,71.6261780122295,0.0480712604108922,,,,,,,,,
Bose J,with_noise_10,log_1_1687181916,100.0,2.0,"[992, 3614]","[1292, 2437, 3613]",0.4,1.0,00:05:13,313.0838077496737,0.0660235781842416,,,,,,,,,
Bose WC,with_noise_10,log_1_1687181916,100.0,2.0,[1022],"[1292, 2437, 3613]",,,00:04:46,286.28914697561413,0.0603730803407031,,,,,,,,,
Bose J,with_noise_10,log_1_1687181916,400.0,2.0,"[712, 1320, 1700, 2482, 3068, 3618]","[1292, 2437, 3613]",0.6666666666666666,26.0,00:07:53,473.0528842816129,0.099758094534292,,,,,,,,,
Bose WC,with_noise_10,log_1_1687181916,400.0,2.0,"[784, 1062, 2734, 3068, 3436]","[1292, 2437, 3613]",0.25,177.0,00:09:09,549.589974838309,0.1158983498182853,,,,,,,,,
Bose J,with_noise_20,log_1_1687181916,500.0,2.0,"[994, 1456, 2522, 3650]","[1292, 2437, 3613]",0.8571428571428571,95.33333333333331,00:07:49,469.427822785452,0.0989936361841948,,,,,,,,,
Bose WC,with_noise_20,log_1_1687181916,500.0,2.0,"[902, 2570]","[1292, 2437, 3613]",0.4,133.0,00:08:28,508.4312198320404,0.1072187304580431,,,,,,,,,
Bose J,without_noise,log_20_1687181939,200.0,2.0,"[1400, 1638, 2318, 2818, 3226]","[1383, 2319, 2819]",0.7499999999999999,6.333333333333333,00:00:54,54.9604113586247,0.0139777241502097,,,,,,,,,
Bose WC,without_noise,log_20_1687181939,200.0,2.0,"[1400, 2268, 2914]","[1383, 2319, 2819]",1.0,54.333333333333336,00:00:42,42.31501243263483,0.0107617020428878,,,,,,,,,
Bose J,with_noise_20,log_20_1687181939,300.0,2.0,"[640, 1400, 2252, 2888, 3152]","[1383, 2319, 2819]",0.7499999999999999,51.0,00:01:17,77.24156843870878,0.0196443459915332,,,,,,,,,
Bose WC,with_noise_20,log_20_1687181939,300.0,2.0,"[1400, 2280]","[1383, 2319, 2819]",0.8,28.0,00:01:19,79.1205826215446,0.0201222234541059,,,,,,,,,
Bose J,with_noise_10,log_20_1687181939,400.0,2.0,"[598, 754, 1434, 2378, 2798]","[1383, 2319, 2819]",0.7499999999999999,43.66666666666666,00:01:30,90.87116114795208,0.0231106717059898,,,,,,,,,
Bose WC,with_noise_10,log_20_1687181939,400.0,2.0,"[1436, 2622]","[1383, 2319, 2819]",0.8,125.0,00:01:56,116.02442706283182,0.0295077383170986,,,,,,,,,
Bose J,with_noise_20,log_20_1687181939,500.0,2.0,"[710, 1154, 1628, 2388, 2888]","[1383, 2319, 2819]",0.5,69.0,00:01:28,88.04434745945036,0.02239174655632,,,,,,,,,
Bose WC,with_noise_20,log_20_1687181939,500.0,2.0,"[726, 2372]","[1383, 2319, 2819]",0.4,53.0,00:01:44,104.0155661161989,0.0264536027762459,,,,,,,,,
Bose J,with_noise_20,log_20_1687181939,600.0,2.0,"[1070, 1676, 1890, 2306, 2764]","[1383, 2319, 2819]",0.5,34.0,00:01:35,95.18685477040708,0.0242082540107851,,,,,,,,,
Bose WC,with_noise_20,log_20_1687181939,600.0,2.0,[2280],"[1383, 2319, 2819]",0.5,39.0,00:01:40,100.16150674875826,0.0254734249106709,,,,,,,,,
