Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Earth Mover's Distance,without_noise,log_84_1687182047,200,2,[1340],[1338],1.0,2.0,00:00:11,11.267186410725117,0.004420237901422172
Earth Mover's Distance,with_noise_10,log_25_1687181949,100,2,[874],"[783, 1163]",0.6666666666666666,91.0,00:01:25,85.03446684777737,0.04732023753354333
Earth Mover's Distance,with_noise_5,log_78_1687182040,300,2,"[742, 1620]",[743],0.6666666666666666,1.0,00:00:01,1.9038599040359259,0.0008514579177262638
Earth Mover's Distance,without_noise,log_25_1687181949,100,2,[872],"[783, 1163]",0.6666666666666666,89.0,00:01:17,77.77538745291531,0.04328068305671414
Earth Mover's Distance,with_noise_15,log_99_1687182077,100,2,"[482, 656, 2728]","[555, 837, 2088, 2767]",0.8571428571428571,97.66666666666667,00:00:17,17.050360506400466,0.005008919067685213
Earth Mover's Distance,with_noise_10,log_48_1687181998,300,2,"[1140, 2440, 3592]","[1144, 2359, 2666, 3482, 3756]",0.7499999999999999,65.0,00:01:32,92.80392890796065,0.021622537024221962
Earth Mover's Distance,with_noise_5,log_88_1687182055,200,2,"[464, 1468, 2092, 3364, 3792]","[1401, 1950, 2206, 3218, 3462]",0.6,93.0,00:00:10,10.643229151144624,0.002500171282862256
Earth Mover's Distance,with_noise_5,log_17_1687181934,200,2,"[536, 1182, 2484, 3902, 4408]","[975, 1309, 2437, 2652, 3899]",0.6,59.0,00:04:57,297.2994022089988,0.061072186156326785
Earth Mover's Distance,with_noise_15,log_95_1687182068,200,2,"[802, 1420, 2664, 3074, 3934, 4170, 5200]","[561, 936, 2338, 2712, 4212]",0.5,74.66666666666667,00:10:13,613.8408905081451,0.1088177433980048
Earth Mover's Distance,with_noise_10,log_58_1687182010,100,2,[556],[566],1.0,10.0,00:00:01,1.41217196919024,0.0008527608509602898
Earth Mover's Distance,with_noise_10,log_62_1687182017,200,2,[538],[540],1.0,2.0,00:00:25,25.13451985269785,0.0156699001575423
Earth Mover's Distance,with_noise_5,log_46_1687181991,300,2,"[874, 1716, 2536, 3150, 4078]","[808, 1008, 2422, 3892]",0.6666666666666665,122.0,00:01:52,112.39972602948546,0.02428688980758113
Earth Mover's Distance,without_noise,log_18_1687181937,200,2,[],"[1013, 1325]",,,00:01:11,71.09734756685793,0.03369542538713646
