Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Maaradji Runs,without_noise,log_65_1687182020,200,2,"[906, 1480, 2212]","[909, 1496, 2099, 2410]",0.8571428571428571,44.0,00:00:33,33.2656115880236,0.0108746687113512
Maaradji Runs,with_noise_10,log_65_1687182020,300,2,[],"[909, 1496, 2099, 2410]",,,00:00:02,2.411544380709529,0.0007883440276919
Maaradji Runs,with_noise_10,log_66_1687182022,100,2,[],"[846, 1221]",,,00:00:03,3.3814700562506914,0.001954606968931
Maaradji Runs,with_noise_10,log_66_1687182022,250,2,[1024],"[846, 1221]",0.6666666666666666,178.0,00:00:03,3.362149148248136,0.0019434388140162
Maaradji Runs,with_noise_10,log_67_1687182023,100,2,[],"[933, 1145, 2289, 3129]",,,00:00:01,1.2891031773760917,0.0002900119634141
Maaradji Runs,without_noise,log_67_1687182023,150,2,"[920, 2246, 3082]","[933, 1145, 2289, 3129]",0.8571428571428571,34.333333333333336,00:00:01,1.8622705088928344,0.000418958494689
Maaradji Runs,with_noise_20,log_67_1687182023,200,2,[],"[933, 1145, 2289, 3129]",,,00:00:01,1.7666781842708588,0.0003974529098472
Maaradji Runs,with_noise_10,log_67_1687182023,300,2,[],"[933, 1145, 2289, 3129]",,,00:00:01,1.4561925195157528,0.0003276023665952
Maaradji Runs,without_noise,log_67_1687182023,50,2,"[2278, 2482, 3116]","[933, 1145, 2289, 3129]",0.5714285714285715,12.0,00:00:01,1.98251329921186,0.000446009741105
Maaradji Runs,with_noise_20,log_68_1687182024,100,2,[],"[896, 1272, 1818, 2030, 2923, 3240]",,,00:00:15,15.846265039406717,0.0035081392604398
Maaradji Runs,with_noise_20,log_68_1687182024,150,2,[],"[896, 1272, 1818, 2030, 2923, 3240]",,,00:00:15,15.167720893397927,0.0033579191705552
Maaradji Runs,with_noise_10,log_68_1687182024,200,2,[],"[896, 1272, 1818, 2030, 2923, 3240]",,,00:00:12,12.688187787309287,0.0028089855628313
Maaradji Runs,without_noise,log_68_1687182024,250,2,"[926, 1840, 2994]","[896, 1272, 1818, 2030, 2923, 3240]",0.6666666666666666,41.0,00:01:35,95.46275187656283,0.0211341049095777
Maaradji Runs,with_noise_10,log_68_1687182024,300,2,[],"[896, 1272, 1818, 2030, 2923, 3240]",,,00:00:12,12.456127892248333,0.002757610779776
Maaradji Runs,with_noise_10,log_69_1687182027,200,2,[],"[1354, 1741, 2389, 2676, 3199]",,,00:00:24,24.821443653665483,0.0058762887437655
Maaradji Runs,with_noise_10,log_69_1687182027,250,2,[],"[1354, 1741, 2389, 2676, 3199]",,,00:00:24,24.438886987045407,0.0057857213510997
Maaradji Runs,without_noise,log_69_1687182027,50,2,[],"[1354, 1741, 2389, 2676, 3199]",,,00:05:23,323.7882361607626,0.0766544119698775
Maaradji Runs,with_noise_10,log_6_1687181923,100,2,[],"[923, 1989, 3141]",,,00:00:11,11.41806781757623,0.0025944257708648
Maaradji Runs,with_noise_20,log_6_1687181923,150,2,[],"[923, 1989, 3141]",,,00:00:10,10.877485351637006,0.0024715940358184
Maaradji Runs,without_noise,log_6_1687181923,200,2,"[2032, 3146]","[923, 1989, 3141]",0.8,24.0,00:00:59,59.61280776374042,0.0135452869265486
Maaradji Runs,without_noise,log_6_1687181923,300,2,"[1980, 3118]","[923, 1989, 3141]",0.8,16.0,00:01:22,82.49211756698787,0.018743948549645
Maaradji Runs,without_noise,log_6_1687181923,50,2,[],"[923, 1989, 3141]",,,00:01:13,73.45361512247473,0.0166902102073334
Maaradji Runs,without_noise,log_70_1687182031,200,2,[578],[608],1.0,30.0,00:00:08,8.29675916954875,0.0056402169745402
Maaradji Runs,with_noise_10,log_70_1687182031,250,2,[],[608],,,00:00:01,1.957004620693624,0.0013303906326945
Maaradji Runs,with_noise_20,log_70_1687182031,300,2,[],[608],,,00:00:02,2.314999052323401,0.001573758703143
Maaradji Runs,without_noise,log_71_1687182031,150,2,"[960, 2024, 3366]","[940, 1158, 1961, 2167, 3303, 3626]",0.6666666666666666,48.66666666666666,00:01:45,105.08714315667748,0.0232957533045172
Maaradji Runs,without_noise,log_71_1687182031,200,2,"[958, 1970, 3350]","[940, 1158, 1961, 2167, 3303, 3626]",0.6666666666666666,24.666666666666668,00:01:34,94.0478425854817,0.0208485574341568
