Algorithm,Log Source,Log,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Zheng DBSCAN,without_noise,log_14_1687181933,400,200.0,[1169.75],[1179],1.0,9.25,00:00:00,0.1241830326616764,6.640803885651145e-05
Zheng DBSCAN,without_noise,log_14_1687181933,400,40.0,[1169.75],[1179],1.0,9.25,00:00:00,0.1241830326616764,6.640803885651145e-05
Zheng DBSCAN,without_noise,log_14_1687181933,400,80.0,[1169.75],[1179],1.0,9.25,00:00:00,0.1241830326616764,6.640803885651145e-05
Zheng DBSCAN,with_noise_20,log_14_1687181933,600,120.0,[],[1179],,,00:00:00,0.161538690328598,8.638432637892942e-05
Zheng DBSCAN,with_noise_20,log_14_1687181933,600,180.0,[],[1179],,,00:00:00,0.161538690328598,8.638432637892942e-05
Zheng DBSCAN,with_noise_20,log_14_1687181933,600,240.0,[],[1179],,,00:00:00,0.161538690328598,8.638432637892942e-05
Zheng DBSCAN,with_noise_20,log_14_1687181933,600,300.0,[],[1179],,,00:00:00,0.161538690328598,8.638432637892942e-05
Zheng DBSCAN,with_noise_20,log_14_1687181933,600,60.0,[],[1179],,,00:00:00,0.161538690328598,8.638432637892942e-05
Zheng DBSCAN,with_noise_20,log_14_1687181933,700,140.0,[],[1179],,,00:00:00,0.1327892336994409,7.101028540077056e-05
Zheng DBSCAN,with_noise_20,log_14_1687181933,700,210.0,[],[1179],,,00:00:00,0.1327892336994409,7.101028540077056e-05
Zheng DBSCAN,with_noise_20,log_14_1687181933,700,280.0,[],[1179],,,00:00:00,0.1327892336994409,7.101028540077056e-05
Zheng DBSCAN,with_noise_20,log_14_1687181933,700,350.0,[],[1179],,,00:00:00,0.1327892336994409,7.101028540077056e-05
Zheng DBSCAN,with_noise_20,log_14_1687181933,700,70.0,[],[1179],,,00:00:00,0.1327892336994409,7.101028540077056e-05
Zheng DBSCAN,with_noise_20,log_14_1687181933,800,160.0,[],[1179],,,00:00:00,0.1341557158157229,7.17410245003866e-05
Zheng DBSCAN,with_noise_20,log_14_1687181933,800,240.0,[],[1179],,,00:00:00,0.1341557158157229,7.17410245003866e-05
Zheng DBSCAN,with_noise_20,log_14_1687181933,800,320.0,[],[1179],,,00:00:00,0.1341557158157229,7.17410245003866e-05
Zheng DBSCAN,with_noise_20,log_14_1687181933,800,400.0,[],[1179],,,00:00:00,0.1341557158157229,7.17410245003866e-05
Zheng DBSCAN,with_noise_20,log_14_1687181933,800,80.0,[],[1179],,,00:00:00,0.1341557158157229,7.17410245003866e-05
Zheng DBSCAN,without_noise,log_15_1687181933,300,120.0,"[956.0, 1344.0]","[957, 1345]",1.0,1.0,00:00:00,0.2200026987120509,8.368303488476641e-05
Zheng DBSCAN,without_noise,log_15_1687181933,300,150.0,"[956.0, 1344.0]","[957, 1345]",1.0,1.0,00:00:00,0.2200026987120509,8.368303488476641e-05
Zheng DBSCAN,without_noise,log_15_1687181933,300,30.0,"[956.0, 1344.0]","[957, 1345]",1.0,1.0,00:00:00,0.2200026987120509,8.368303488476641e-05
Zheng DBSCAN,without_noise,log_15_1687181933,300,60.0,"[956.0, 1344.0]","[957, 1345]",1.0,1.0,00:00:00,0.2200026987120509,8.368303488476641e-05
