Algorithm,Log Source,Log,Complete-Window Size,Detection-Window Size,Stable Period,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
LCDD,without_noise,log_13_1687181932,100,100,50,[626],"[627, 835, 1407, 2856, 3239]",0.3333333333333333,1.0,00:00:00,0.1175970081239938,2.648581264053916e-05
LCDD,with_noise_20,log_13_1687181932,1200,1200,10,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1384479757398367,3.1181976517981235e-05
LCDD,with_noise_10,log_13_1687181932,1200,1200,5,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1215840624645352,2.73837978523728e-05
LCDD,with_noise_10,log_13_1687181932,200,200,10,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1670228047296404,3.761774881298209e-05
LCDD,with_noise_20,log_13_1687181932,200,200,100,[364],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1721564223989844,3.877396900878028e-05
LCDD,with_noise_20,log_13_1687181932,200,200,150,[364],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.3069940870627761,6.914281240152615e-05
LCDD,with_noise_20,log_13_1687181932,200,200,5,[364],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1571646444499492,3.5397442443682264e-05
LCDD,with_noise_20,log_13_1687181932,200,200,50,[364],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1781333750113845,4.012012950706858e-05
LCDD,with_noise_10,log_13_1687181932,300,300,10,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1526512019336223,3.438090133640143e-05
LCDD,with_noise_10,log_13_1687181932,300,300,100,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1737687466666102,3.91371051050924e-05
LCDD,without_noise,log_13_1687181932,300,300,150,[626],"[627, 835, 1407, 2856, 3239]",0.3333333333333333,1.0,00:00:00,0.2528184270486235,5.6941087173113416e-05
LCDD,with_noise_20,log_13_1687181932,300,300,20,[364],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1497337454929947,3.3723816552476306e-05
LCDD,with_noise_10,log_13_1687181932,300,300,200,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1527843885123729,3.441089831359752e-05
LCDD,with_noise_20,log_13_1687181932,300,300,5,[364],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1517264926806092,3.41726334866237e-05
LCDD,with_noise_10,log_13_1687181932,300,300,50,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1526527926325798,3.438125960193239e-05
LCDD,without_noise,log_13_1687181932,400,400,10,[626],"[627, 835, 1407, 2856, 3239]",0.3333333333333333,1.0,00:00:00,0.054161480627954,1.2198531672962616e-05
LCDD,with_noise_10,log_13_1687181932,400,400,100,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.0775351906195283,1.746288077016403e-05
