Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Martjushev ADWIN J,without_noise,log_15_1687181933,0.4,400,600,50,"[961, 1250]","[957, 1345]",1.0,49.5,00:00:02,2.896490133367479,0.0011017459617221
Martjushev ADWIN J,without_noise,log_15_1687181933,0.4,400,700,10,"[961, 1250]","[957, 1345]",1.0,49.5,00:00:03,3.1725224759429693,0.0012067411471825
Martjushev ADWIN J,with_noise_10,log_16_1687181934,0.4,100,400,20,[],"[1218, 1793, 2771]",,,00:00:46,46.71789144724608,0.0115752952049668
Martjushev ADWIN J,with_noise_10,log_16_1687181934,0.4,100,500,50,[],"[1218, 1793, 2771]",,,00:00:32,32.48640194628388,0.008049158063995
Martjushev ADWIN J,with_noise_10,log_16_1687181934,0.4,100,600,10,[],"[1218, 1793, 2771]",,,00:01:04,64.86754406057298,0.0160722358921142
Martjushev ADWIN J,with_noise_10,log_16_1687181934,0.4,100,700,50,[],"[1218, 1793, 2771]",,,00:00:35,35.19421742297709,0.0087200736925116
Martjushev ADWIN J,with_noise_10,log_16_1687181934,0.4,200,400,50,[],"[1218, 1793, 2771]",,,00:00:30,30.65754212811589,0.0075960213399692
Martjushev ADWIN J,with_noise_20,log_16_1687181934,0.4,200,500,20,[],"[1218, 1793, 2771]",,,00:00:44,44.834090715274215,0.0111085457669163
Martjushev ADWIN J,without_noise,log_16_1687181934,0.4,200,600,10,[],"[1218, 1793, 2771]",,,00:00:39,39.4398459373042,0.0097720133640496
Martjushev ADWIN J,with_noise_10,log_16_1687181934,0.4,200,700,50,[],"[1218, 1793, 2771]",,,00:00:34,34.608333635143936,0.0085749092257541
Martjushev ADWIN J,with_noise_20,log_16_1687181934,0.4,300,400,10,[],"[1218, 1793, 2771]",,,00:00:59,59.734737591817975,0.0148004800772591
Martjushev ADWIN J,with_noise_10,log_16_1687181934,0.4,300,500,50,[],"[1218, 1793, 2771]",,,00:00:30,30.334357302635908,0.0075159458133389
Martjushev ADWIN J,with_noise_10,log_16_1687181934,0.4,300,600,50,[],"[1218, 1793, 2771]",,,00:00:32,32.934109755791724,0.0081600866590167
Martjushev ADWIN J,with_noise_10,log_16_1687181934,0.4,300,700,50,[],"[1218, 1793, 2771]",,,00:00:37,37.29751811828464,0.0092412086517058
Martjushev ADWIN J,without_noise,log_16_1687181934,0.4,400,400,20,[],"[1218, 1793, 2771]",,,00:00:31,31.109824393875897,0.0077080833483339
Martjushev ADWIN J,with_noise_10,log_16_1687181934,0.4,400,500,50,[],"[1218, 1793, 2771]",,,00:00:26,26.484966102987528,0.0065621818887481
Martjushev ADWIN J,with_noise_10,log_17_1687181934,0.4,100,400,10,"[939, 1280, 2041, 2412, 2683, 3574]","[975, 1309, 2437, 2652, 3899]",0.7272727272727272,30.25,00:00:59,59.06431851070374,0.0121331796447624
Martjushev ADWIN J,with_noise_10,log_17_1687181934,0.4,100,500,50,"[1024, 2652, 3901]","[975, 1309, 2437, 2652, 3899]",0.7499999999999999,17.0,00:00:51,51.21486041881144,0.0105207190671346
Martjushev ADWIN J,without_noise,log_17_1687181934,0.4,100,600,50,"[1049, 1300, 2001, 3902]","[975, 1309, 2437, 2652, 3899]",0.6666666666666665,28.666666666666668,00:00:39,39.90601064544171,0.0081976192780282
Martjushev ADWIN J,with_noise_20,log_17_1687181934,0.4,100,700,20,"[989, 1980, 3301]","[975, 1309, 2437, 2652, 3899]",0.25,14.0,00:00:51,51.95059002097696,0.0106718549755499
Martjushev ADWIN J,with_noise_10,log_17_1687181934,0.4,200,400,20,"[939, 1340, 2556, 3862]","[975, 1309, 2437, 2652, 3899]",0.888888888888889,50.0,00:00:36,36.6875621676445,0.0075364753836574
Martjushev ADWIN J,without_noise,log_17_1687181934,0.4,200,500,50,"[1111, 2637, 3901]","[975, 1309, 2437, 2652, 3899]",0.7499999999999999,51.0,00:00:41,41.37654378078878,0.0084997008588308
Martjushev ADWIN J,without_noise,log_17_1687181934,0.4,200,600,20,"[869, 1380, 2446, 3894]","[975, 1309, 2437, 2652, 3899]",0.888888888888889,47.75,00:00:49,49.73474302701652,0.0102166686579738
Martjushev ADWIN J,without_noise,log_17_1687181934,0.4,200,700,10,"[869, 1380, 2446, 3879]","[975, 1309, 2437, 2652, 3899]",0.888888888888889,51.5,00:00:50,50.14851247426122,0.0103016664901933
Martjushev ADWIN J,with_noise_10,log_17_1687181934,0.4,300,400,50,"[999, 2546, 3876, 4602]","[975, 1309, 2437, 2652, 3899]",0.6666666666666665,51.0,00:00:42,42.77506262436509,0.0087869890354077
Martjushev ADWIN J,without_noise,log_17_1687181934,0.4,300,500,50,"[1111, 2637, 3901]","[975, 1309, 2437, 2652, 3899]",0.7499999999999999,51.0,00:00:45,45.21382205467671,0.009287966732678
Martjushev ADWIN J,without_noise,log_17_1687181934,0.4,300,600,20,"[869, 1480, 2536, 3894]","[975, 1309, 2437, 2652, 3899]",0.888888888888889,95.25,00:00:46,46.80840237811208,0.0096155304803024
Martjushev ADWIN J,with_noise_10,log_17_1687181934,0.4,300,700,20,"[899, 2455, 3788]","[975, 1309, 2437, 2652, 3899]",0.7499999999999999,68.33333333333333,00:00:47,47.67741310968995,0.0097940454210538
Martjushev ADWIN J,with_noise_20,log_17_1687181934,0.4,400,400,10,"[999, 2330, 3896]","[975, 1309, 2437, 2652, 3899]",0.7499999999999999,44.66666666666666,00:00:44,44.92378869932145,0.0092283871609123
Martjushev ADWIN J,without_noise,log_17_1687181934,0.4,400,500,20,"[994, 2517, 3906]","[975, 1309, 2437, 2652, 3899]",0.7499999999999999,35.333333333333336,00:00:43,43.36365932784975,0.0089079004371096
Martjushev ADWIN J,without_noise,log_17_1687181934,0.4,400,600,10,"[869, 2512, 3862]","[975, 1309, 2437, 2652, 3899]",0.7499999999999999,72.66666666666667,00:00:48,48.80041607003659,0.0100247362510346
Martjushev ADWIN J,without_noise,log_17_1687181934,0.4,400,700,50,"[1049, 2425, 3847]","[975, 1309, 2437, 2652, 3899]",0.7499999999999999,46.0,00:00:42,42.07574979774654,0.0086433339765296
Martjushev ADWIN J,with_noise_10,log_18_1687181937,0.4,100,400,50,[],"[1013, 1325]",,,00:00:22,22.585186026990414,0.0107038796336447
